Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2021-08-05,135.3181915283203,135.41602748559603,133.92231670480348,134.75110364771078,17870000
2021-08-06,134.80870056152344,135.53768146813212,134.28383249025302,135.11013410578906,20488000
2021-08-09,135.9751739501953,136.24432894143314,134.41245046326122,135.01133206332474,17760000
2021-08-10,135.86990356445312,136.82878994271528,135.4304297601133,136.40122739389997,19414000
2021-08-11,135.34552001953125,136.73939453465712,135.33806411914702,136.24183441816174,15352000
2021-08-12,136.2542266845703,136.3595033770829,134.49784714488297,135.04406754288547,16506000
2021-08-13,136.78407287597656,136.91220221013,136.09434153184176,136.30985037406484,15948000
2021-08-16,137.3621063232422,137.41475225696215,134.3722294840913,136.58297984358083,22384000
2021-08-17,135.7253875732422,137.31840428534073,135.14985876148344,136.80643247596538,21716000
2021-08-18,134.5211944580078,136.16535676998893,134.39456539418998,135.56499013268993,19258000
2021-08-19,134.75059509277344,135.41848912532745,133.3303977575607,133.51462818784134,21782000
2021-08-20,136.48814392089844,136.61178760876336,134.32356862982397,135.06843130244778,31194000
2021-08-23,139.0822296142578,139.90951622851577,136.6648966422779,137.02441648321607,28454000
2021-08-24,140.29388427734375,141.1067743975744,139.3772025716941,139.64832759063572,19268000
2021-08-25,141.10577392578125,141.21552113852167,140.407601620042,140.65488897401852,15848000
2021-08-26,140.47166442871094,141.4419619740377,140.3887251136367,140.77903846994076,20610000
2021-08-27,143.01759338378906,143.52260939124648,140.52776217570977,140.68219932895803,28780000
2021-08-30,143.60008239746094,144.9706345087551,143.17550523578328,143.41088134582995,24434000
2021-08-31,143.7063446044922,144.17709682612852,143.29270882385984,144.15277422389678,22448000
2021-09-01,144.22080993652344,145.2521944096591,143.89108332628106,144.00678617898814,21936000
2021-09-02,142.30552673339844,144.5227329152527,142.20422043422548,144.2213144723881,32342000
2021-09-03,142.75489807128906,143.16754877804087,141.425065626574,142.10041556217422,19850000
2021-09-07,143.29220581054688,143.57475715594347,142.63523794111092,142.8492616821158,20124000
2021-09-08,142.7067413330078,143.4108844692113,142.020480234913,143.1129515291971,18344000
2021-09-09,142.55776977539062,143.32199956321935,142.1967647782529,142.85521776816285,15314000
2021-09-10,139.9110107421875,143.72718852242127,139.77395555302834,143.2246427259932,36840000
2021-09-13,141.35752868652344,141.97079154644877,140.28243955259825,140.97714144111998,22094000
2021-09-14,141.5680694580078,142.38097464046592,140.77901709157425,142.0159841233431,19674000
2021-09-15,143.44017028808594,143.46102255975654,140.37928108999674,141.7935227681328,27408000
2021-09-16,142.6262969970703,143.31157304134615,141.42607889210248,142.9644645098526,26190000
2021-09-17,139.83555603027344,142.4673980896483,139.50781463441865,142.0507769006327,53384000
2021-09-20,137.769287109375,138.04786802419636,135.3882181598803,137.21511067059447,46518000
2021-09-21,138.0806427001953,139.05244043758358,137.33080952468467,138.79222650353563,25332000
2021-09-22,139.32257080078125,139.92193727417347,137.60244009203043,138.3497879973125,25056000
2021-09-23,140.2487030029297,140.72591094990884,139.4397832505702,140.02176781696548,20952000
2021-09-24,141.24082946777344,141.35554726885448,139.28035225637964,139.57581499979798,22984000
2021-09-27,140.10568237304688,140.96624781578487,139.10806172640446,139.84001289276725,21882000
2021-09-28,134.8995819091797,138.14370154604273,134.4328001428913,137.70522795258165,45772000
2021-09-29,133.43321228027344,136.2115507067214,132.94806347569877,136.04171680115297,30848000
2021-09-30,132.7603302001953,134.6140457457326,132.64115703529495,133.3418297784705,37996000
2021-10-01,135.60769653320312,135.9726870836677,133.15461451676552,133.52654572208218,35360000
2021-10-04,132.74395751953125,135.02919100762176,130.152335016585,135.02919100762176,51202000
2021-10-05,135.0912628173828,136.28454028271238,133.12284448248417,133.12284448248417,32404000
2021-10-06,136.62271118164062,136.80644154596658,133.62836390206846,133.82699091338657,24364000
2021-10-07,138.27133178710938,139.08273677030002,137.7012585252887,137.9406050375221,25110000
2021-10-08,138.8280029296875,139.3697529009224,138.26388525704718,138.62091984045634,26526000
2021-10-11,137.96246337890625,139.7481514962856,137.90783223964974,138.33788008148647,17954000
2021-10-12,135.5143585205078,138.55141053862306,134.83006747630324,138.52458748141476,36332000
2021-10-13,136.6396026611328,137.05473875110437,135.5838803968462,136.46132782129834,19654000
2021-10-14,140.18414306640625,140.36935854476863,137.8740717298719,138.51862826245136,31894000
2021-10-15,140.39962768554688,140.74723625280873,139.7908353334407,140.6444448624636,30274000
2021-10-18,141.8000030517578,141.81788509015465,140.10320976767485,140.11016557752583,20396000
